2023-02-02 16:10:15,465 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 16:10:15,466 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 16:10:31,257 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 16:10:31,257 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 16:10:31,257 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:10:37,044 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 16:11:10,197 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-02-02 16:12:31,808 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 16:12:31,808 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 16:12:31,808 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2023-02-02 16:15:36,753 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 16:15:36,753 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 16:15:36,753 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:15:42,588 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 16:18:27,896 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 34:36:3B:6B:58:8F
2023-02-02 16:35:18,558 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:35:20,548 | MainThread   | [ERROR   ] | _connect            |: Device with address 73:6D:14:70:9E:8F was not found.
2023-02-02 16:35:21,549 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:35:21,550 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:35:32,171 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 16:35:43,592 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 16:35:43,695 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 16:35:43,695 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2023-02-02 16:36:05,228 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 16:36:05,228 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 16:36:05,228 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:36:17,276 | MainThread   | [ERROR   ] | _connect            |: 
2023-02-02 16:36:18,279 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:36:18,279 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:36:20,302 | MainThread   | [ERROR   ] | _connect            |: Device with address 2C:3E:17:33:E6:D3 was not found.
2023-02-02 16:36:21,307 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 16:36:21,307 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 16:36:57,773 | MainThread   | [ERROR   ] | _connect            |: 
2023-02-02 16:36:58,779 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 17:00:17,841 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 17:00:17,843 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 17:00:17,843 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 17:00:45,985 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-02 17:00:45,985 | MainThread   | [DEBUG   ] | __init__            |: System Info: Windows-10-10.0.19045-SP0
2023-02-02 17:00:45,985 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:48:6a:84:3c
2023-02-02 17:00:52,126 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:48:6a:84:3c
2023-02-02 17:01:11,609 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-02-02 17:01:25,337 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 17:01:25,436 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 17:01:25,436 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
